"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","gerkmeans.cluster"
"199","Turkey",96.7097702,97.14839935,97.47682953,97.78913879,98.1366272,98.60756683,97.99826813,95.61943817,96.3258667,95.37837219,92.69954681,92.90035248,94.866867062,3
"200","Turkmenistan",94.40991974,88.5276521971429,92.14272499,94.4696858716667,95.6139482771429,94.4696858716667,97.722049715,96.9087284628571,92.14272499,91.6497173308333,58.28387324,86.890090945,97.93863678,1
"204","Ukraine",93.4447403,87.7902832,87.24868011,89.08276367,88.24845886,87.85125732,88.23287201,89.79936218,94.00456238,98.04025269,98.63449097,98.6481781,96.17550659,7
"205","United Arab Emirates",96.9199338628571,85.01522064,87.99767303,89.33718872,88.20774078,87.94638062,79.29731369,82.81855774,85.45204926,85.58944702,87.81474304,87.55709839,90.7382431,7
"206","United Kingdom",99.79078674,99.90814972,98.01226807,98.77790833,98.40897369,96.47029877,98.82121277,98.54135132,99.23429871,99.71890259,99.79006195,99.82743835,99.85433197,3
"207","United States",94.99746704,94.74115753,93.37412262,93.68804169,94.81912231,95.86296082,96.26724243,94.81539154,93.62400055,92.91374207,93.16648102,92.77709198,93.09829712,5
"211","Venezuela, RB",91.27191162,89.99024963,90.25824738,89.43807983,89.68565369,90.95990753,89.05003357,91.02645111,91.51155853,91.81323242,91.79193115,91.07640839,90.66394043,7
"212","Vietnam",92.92719269,96.9087284628571,89.501066591,90.18182373,91.28613281,97.1607398975,96.90271759,98.07318878,98.01474762,99.32473755,98.05641174,97.96511078,85.5613479625,5
"214","West Bank and Gaza",85.25019073,84.39129639,82.13667297,79.6724472,80.17671204,79.52926636,83.5856781,85.11309814,86.39826965,86.78877258,90.14975739,90.20919037,90.84055328,8
"216","Zambia",66.6103363,90.950889586,80.19180298,88.53864288,88.33753204,89.88069916,91.95899963,87.44963074,85.29956818,88.71134186,90.09747314,87.40411377,94.494083405,9
