"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","gerkmeans.cluster"
"89","India",95.02355957,102.9623489,113.172393811111,102.071920541538,111.893165592308,110.2214432,110.8635025,109.5730286,109.1836472,108.3747177,109.7577515,110.5846481,131.83740386,107.25125185,93.1408977525,10
"90","Indonesia",109.9067078,109.4723434,108.829361,107.7922287,106.0453873,109.0557404,107.5075073,108.1407089,108.656311,108.6352463,108.691452,106.3430328,105.7409592,127.886835766667,121.553132861538,10
"93","Ireland",106.0957565,106.972023,107.1159668,106.6860275,106.7267838,108.0107574,108.027977,107.9256973,106.7894821,105.2078781,103.6377563,102.8611069,109.307496869231,101.265637330769,100.668544479231,10
"95","Israel",105.8631973,105.4005737,105.0619888,103.5446167,102.6209488,103.1577225,102.5333176,102.904953,104.2485809,104.9834824,105.5940781,104.500412,104.1763687,109.133052405556,127.886835766667,7
"98","Japan",101.1022415,101.3231506,101.8598404,101.9082413,102.088913,101.9826889,101.4906769,101.9602966,102.1928635,102.6288681,102.3000412,101.5752411,112.099577676923,84.24507141,101.265637330769,2
"99","Jordan",105.7026978,107.0124283,107.0836411,105.5499725,103.1163101,100.0045776,97.53838348,108.529072836364,91.01065063,89.78766632,88.71904755,107.25125185,125.359395546154,104.764145484615,102.071920541538,2
"100","Kazakhstan",100.9882584,101.9571075,102.6666183,101.7064133,100.5959702,101.822319,106.0378189,107.2134705,107.5972595,108.5714874,109.1691818,110.6585083,111.3487701,110.5636826,109.133052405556,10
"101","Kenya",91.90972137,107.3709412,107.4184494,107.6782608,105.5734024,112.6296387,112.3023987,113.2679977,112.69714661,94.4659745933333,116.1312485,127.886835766667,111.3958588,99.8020935084615,29.20210075,4
"106","Kuwait",108.9784622,109.9151688,108.9412918,108.7072601,103.57798,104.8392105,101.5178375,101.6311035,102.8022079,106.8013687,105.9889221,104.1896896,102.6835098,65.9893207566667,93.6091175125,4
"107","Kyrgyz Republic",95.42067719,96.02071381,97.12503815,97.73885345,98.85112762,97.37610626,97.5433197,97.36158752,97.97509766,98.43942261,102.9465332,106.0738907,107.6717987,114.4490348,103.286692283333,2
"109","Latvia",98.37654877,96.8397522,94.27629852,93.65904236,94.91207123,97.59755707,101.1564026,103.7886429,105.8476868,105.2959213,104.3839188,102.7310104,100.4082108,103.514560412308,109.102699284167,2
"110","Lebanon",120.1522675,112.4017181,107.486557,103.3642426,100.6442719,101.9793015,102.5866699,104.0386429,104.7297668,103.7496414,99.08582306,97.14633179,77.5966162236364,102.810303330769,65.9893207566667,4
"111","Lesotho",118.6004791,120.8320923,119.1893616,117.1377335,117.4122391,110.9100113,110.1876907,109.374321,110.4907379,110.9714127,110.9631729,107.9747314,107.0942078,117.835006081667,114.4490348,10
