"att1";"1972 [YR1972]";"1973 [YR1973]";"1974 [YR1974]";"1975 [YR1975]";"1976 [YR1976]";"1977 [YR1977]";"1978 [YR1978]";"1979 [YR1979]";"1980 [YR1980]";"1981 [YR1981]";"1982 [YR1982]";"1983 [YR1983]";"1984 [YR1984]";"1985 [YR1985]";"1986 [YR1986]";"1987 [YR1987]";"1988 [YR1988]";"1989 [YR1989]";"1990 [YR1990]";"1991 [YR1991]";"1992 [YR1992]";"1993 [YR1993]";"1994 [YR1994]";"1995 [YR1995]";"1996 [YR1996]";"1997 [YR1997]";"1998 [YR1998]";"1999 [YR1999]";"2000 [YR2000]";"2001 [YR2001]";"2002 [YR2002]";"2003 [YR2003]";"2004 [YR2004]";"2005 [YR2005]";"2006 [YR2006]";"2007 [YR2007]";"Country Name";"Series Code";"Series Name"
14447.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;"Australia";"IC.CRD.PUBL.ZS";"Public credit registry coverage (% of adults)"
14448.0;;;;;;;6.00997;5.89862;5.65412;;5.47263;5.36785;;5.39602;5.26982;5.07155;4.92165;4.7394;4.66912;4.78502;4.68027;5.50451;5.24177;5.11131;5.22136;;;;4.88498;;;;;4.91778;4.75718;4.67504;"Australia";"SE.XPD.TOTL.GD.ZS";"Public spending on education, total (% of GDP)"
14449.0;;;;;;;;;;;;;;;;;;14.74586;15.15408;15.55067;14.35096;16.07827;15.25233;14.89128;15.28677;;;;13.59023;;;;;13.58672;13.16061;13.01484;"Australia";"SE.XPD.TOTL.GB.ZS";"Public spending on education, total (% of government expenditure)"
14450.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.45;;0.57;;0.48;;0.83;;0.94;;"Australia";"EP.PMP.DESL.CD";"Pump price for diesel fuel (US$ per liter)"
14451.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.46;;0.57;;0.5;;0.85;;0.93;;"Australia";"EP.PMP.SGAS.CD";"Pump price for gasoline (US$ per liter)"
14452.0;24.20741;23.59209;21.64596;20.82812;20.04911;19.46907;19.3371;18.8736;;18.72319;;;15.6073;;16.76363;16.59772;16.63185;16.75533;;16.59162;16.56896;16.58239;;18.14897;18.072;17.88299;17.8757;17.87578;;;;;;;;;"Australia";"SE.PRM.ENRL.TC.ZS";"Pupil-teacher ratio, primary"
14454.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.052647726183247;"Australia";"IQ.WEF.PORT.XQ";"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)"
14455.0;1.35252E10;1.67259E10;1.90549E10;2.27981E10;2.59113E10;2.73689E10;3.01158E10;3.31355E10;3.72751E10;4.18187E10;4.81943E10;5.41957E10;6.13001E10;7.55052E10;8.2305E10;9.4385E10;1.11923E11;1.50499E11;1.72064E11;1.71102081E11;1.77389547E11;1.80265015E11;1.97541518E11;2.159490633E11;2.361240445E11;2.476676764E11;2.711085782E11;3.050511234E11;3.09633755E11;3.395257074E11;;;;;;6.37914222010597E11;"Australia";"FM.LBL.QMNY.CN";"Quasi money (current LCU)"
14457.0;;;;;;;;;7592.0;7554.0;7638.0;7647.0;7450.0;7450.0;7450.0;7315.0;7196.0;7147.0;6612.0;;;;;;;9458.0;;;9499.0;9508.0;9514.0;9474.0;;9528.0;9639.0;9639.0;"Australia";"IS.RRS.TOTL.KM";"Rail lines (total route-km)"
14458.0;;;;;;;;;11465.0;11982.0;13079.0;13177.0;15369.0;18438.0;20450.0;20871.0;20676.0;20884.0;22579.0;22869.0;24719.0;24614.0;25175.0;26604.0;26368.0;28408.0;30119.0;31605.0;34050.0;38525.0;40628.0;41314.0;42300.0;46164.0;46486.4401216511;60126.1833922525;"Australia";"IS.RRS.GOOD.MT.K6";"Railways, goods transported (million ton-km)"
